,Open,High,Low,Close,Adjusted close,Volume,Dividend amount,Split coefficient,Return,MA_7,MA_30
1999-11-01,98.5,98.81,96.37,96.75,48.3513656217403,9551800.0,0.0,1.0,,,
1999-11-02,96.75,96.81,93.69,94.81,47.3818395307204,11105400.0,0.0,1.0,-0.020051679586563287,,
1999-11-03,95.87,95.94,93.5,94.37,47.1619470152314,10369100.0,0.0,1.0,-0.004640860668705837,,
1999-11-04,94.44,94.44,90.0,91.56,45.7576334504036,16697600.0,0.0,1.0,-0.029776411995337537,,
1999-11-05,92.75,92.94,90.19,90.25,45.1029534611066,13737600.0,0.0,1.0,-0.014307557885539612,,
1999-11-08,90.5,93.94,90.5,93.94,47.007022742955,8522300.0,0.12,1.0,0.04088642659279773,,
1999-11-09,95.06,95.5,92.12,93.62,46.8468966275862,9551200.0,0.0,1.0,-0.0034064296359377355,93.61428571428571,
1999-11-10,94.62,97.06,94.12,97.0,48.5382287211692,8680300.0,0.0,1.0,0.03610339671010454,93.64999999999999,
1999-11-11,97.5,97.5,94.87,95.0,47.5374405001142,7147500.0,0.0,1.0,-0.020618556701030966,93.67714285714285,
1999-11-12,96.0,96.25,93.0,95.87,47.9727833762731,9668400.0,0.0,1.0,0.009157894736842254,93.89142857142858,
1999-11-15,96.0,96.37,93.87,94.06,47.0670700362183,6259400.0,0.0,1.0,-0.01887973297173262,94.24857142857142,
1999-11-16,94.62,95.0,93.0,94.62,47.3472907381137,8537400.0,0.0,1.0,0.005953646608547691,94.87285714285714,
1999-11-17,94.87,94.87,92.62,93.75,46.9119478619548,8355100.0,0.0,1.0,-0.00919467343056446,94.8457142857143,
1999-11-18,94.0,98.25,93.56,98.0,49.0386228316967,18720500.0,0.0,1.0,0.045333333333333226,95.47142857142856,
1999-11-19,99.0,105.12,98.37,103.94,52.0109638482302,19678400.0,0.0,1.0,0.06061224489795913,96.46285714285715,
1999-11-22,105.5,108.44,104.44,107.87,53.9775127026033,13681600.0,0.0,1.0,0.037810275158745466,98.30142857142856,
1999-11-23,108.81,109.87,106.0,106.06,53.0717993625485,10665200.0,0.0,1.0,-0.016779456753499566,99.75714285714287,
1999-11-24,105.0,105.0,101.81,104.5,52.2911845501256,9710400.0,0.0,1.0,-0.014708655478031352,101.24857142857142,
1999-11-26,105.94,106.0,104.12,105.0,52.5413816053894,3108400.0,0.0,1.0,0.004784688995215225,102.73142857142857,
1999-11-29,104.94,104.94,103.37,104.19,52.1360623758621,5677700.0,0.0,1.0,-0.007714285714285785,104.22285714285714,
1999-11-30,103.69,104.5,102.12,103.06,51.570617030966,5758700.0,0.0,1.0,-0.01084557059218727,104.94571428571429,
1999-12-01,102.56,104.44,102.25,103.42,51.7507589107559,5336400.0,0.0,1.0,0.0034931108092373098,104.87142857142858,
1999-12-02,103.44,106.31,103.37,105.27,52.6764880152318,6216900.0,0.0,1.0,0.017888222780893415,104.5,
1999-12-03,109.81,112.87,107.94,111.87,55.9790891447134,14680300.0,0.0,1.0,0.06269592476489039,105.33,
1999-12-06,113.0,116.5,112.5,116.0,58.0457168211921,9928300.0,0.0,1.0,0.03691785107714307,106.97285714285714,
1999-12-07,117.0,119.19,115.44,116.62,58.3559611697191,11326100.0,0.0,1.0,0.005344827586206913,108.63285714285715,
1999-12-08,116.25,121.0,115.5,118.28,59.1866153931948,8139800.0,0.0,1.0,0.014234265134625224,110.64571428571428,
1999-12-09,120.5,122.12,112.25,113.37,56.7296803105047,16643000.0,0.0,1.0,-0.041511667230300975,112.11857142857143,
1999-12-10,111.62,111.94,107.56,109.0,54.5429580474994,12588800.0,0.0,1.0,-0.038546352650613125,112.9157142857143,
1999-12-13,108.12,112.75,106.56,109.7,54.8932339248687,7135200.0,0.0,1.0,0.006422018348623881,113.54857142857144,102.05833333333334
1999-12-14,110.19,110.19,106.87,109.25,54.6680565751313,7437900.0,0.0,1.0,-0.004102096627164986,113.17428571428572,102.475
1999-12-15,107.75,107.94,104.5,107.0,53.5421698264444,9437900.0,0.0,1.0,-0.020594965675057253,111.88857142857144,102.88133333333333
1999-12-16,108.0,109.69,105.75,109.19,54.6380329284997,7122300.0,0.0,1.0,0.02046728971962608,110.82714285714285,103.37533333333334
1999-12-17,110.69,111.06,108.62,110.0,55.0433521580269,7676800.0,0.0,1.0,0.007418261745581134,109.64428571428572,103.99
1999-12-20,109.06,110.44,107.75,109.2,54.6430368696049,4836300.0,0.0,1.0,-0.0072727272727272085,109.04857142857142,104.62166666666666
1999-12-21,108.5,110.12,108.06,110.12,55.1033994512903,4773500.0,0.0,1.0,0.008424908424908395,109.20857142857143,105.16100000000002
